text,label
"hei salam",greeting
"history perpindahan batch gmna ya",batch_trace
"yng paling urgent diperbaiki apaan min",risk_check
"modal ternak sapi brp!",out_of_scope
"KAK REKAP DATA BULANAN DONG!",operational_data
"daging sapi palsu cirinya apa?",out_of_scope
"eh apa itu fatwa halal min",knowledge_query
"nanya dong dong mui itu organisasi apa?",knowledge_query
"permisi oh gitu ya",greeting
"jelasin verifikasi sjh min",knowledge_query
"pdf laporan bulanan ada?",operational_data
"MIN BAGUS MIN",greeting
"kasih data produksi",operational_data
"cara belajar dong programming",out_of_scope
"sorry helo",greeting
"nomor batch brapa?",batch_trace
"apaan tu self declare halal ya",knowledge_query
"nanya dong risk trend bulan ini naik atau turun?",risk_check
"modal ternak sapi brp gak",out_of_scope
"SALAM KENAL GAK",greeting
"kak bye",greeting
"cara mining bitcoin",out_of_scope
"permisi nih jelaskan tentang sihalal",knowledge_query
"tolong kah minta bantuan",greeting
"tolong fasilitas pemotongan lolos standar gak ya",risk_check
"proses pemotongan sesuai standar ya",risk_check
"risk velocity masing-masing risiko gimana?",risk_check
"permisi mengerti",greeting
"kak sesuai sop deh keamanan gak?",risk_check
"sorry kapan terakhir batch nih dicek ya",batch_trace
"pemilik ternak asal siapa?",batch_trace
"PERFORMANCE RPH GMNA?",operational_data
"MIN DIKIRIM KE OUTLET MANA?",batch_trace
"sorry yo",greeting
"catatan pengiriman batch ini ada!",batch_trace
"modal ternak sapi berapa?",out_of_scope
"ada warning dari sistem risiko sih",risk_check
"eh contingency plan sudah siap?",risk_check
"sorry cek riwayat batch b-099?",batch_trace
"sorry ping",greeting
"lacak hp hilang gak",out_of_scope
"permisi shelf life batch ini berapa hari lagi?",batch_trace
"budget min bulanan berapa thanks",operational_data
"kah cara cairkan daging beku??",out_of_scope
"PENCAPAIAN TARGET BERAPA PERSEN?",operational_data
"permisi mantap mas please",greeting
"kode batch ni apa min",batch_trace
"hei testing thanks",greeting
"ante mortem sapi ini gimana?",batch_trace
"minggu lalu brapa batch?",operational_data
"prosesnya sudah sampai tahap mana?",batch_trace
"prioritas perbaikan risiko yang mana?",risk_check
"btw minta laporan mingguan",operational_data
"sapi kurban terbaik apa?",out_of_scope
"lacak paket shopee",out_of_scope
"admin kak",greeting
"sertifikat halal rph pemotong ada?",batch_trace
"tolong history perpindahan batch gimana!",batch_trace
"apa itu ya fatwa halal thanks",knowledge_query
"nomor resi pengiriman berapa?",batch_trace
"apaan itu ccp please",knowledge_query
"eartag fungsinya buat apa?",knowledge_query
"tolong uji mikrobiologi batch ini hasilnya?",batch_trace
"eh record perjalanan batch gimana?",batch_trace
"data statistik penduduk",out_of_scope
"outlet mana yang sudah terima?",batch_trace
"btw catatan pengiriman batch nih ada",batch_trace
"tampilkan info sapi e-001",batch_trace
"bobot ahp tu maksudnya gmn please",knowledge_query
"kah admin",greeting
"mau tanya bs bantu?",greeting
"ada emerging risk baru gak?",risk_check
"catatan pengiriman batch ini ada dong",batch_trace
"wassalam ya",greeting
"hari ini sudah berapa?",operational_data
"lowongan kerja di rph ada?",out_of_scope
"sih update data terbaru dong",operational_data
"btw apa tuh halal value chain?",knowledge_query
"list karyawan dong",operational_data
"ada brp batch hari nih",operational_data
"permisi test",greeting
"eh ap tuh ai?",out_of_scope
"oh gitu",greeting
"min lihatkan laporan dong",operational_data
"nanya dong nice",greeting
"TRACKING JNE RESI NI",out_of_scope
"oke noted",greeting
"cek riwayat batch b-099",batch_trace
"hei near miss incident ada gak?",risk_check
"detail batch nih apaan aja?",batch_trace
"ada residu antibiotik di batch nih min",batch_trace
"bang min jelasin hazard analysis halal thanks",knowledge_query
"RISK VELOCITY MASING-MASING RISIKO GIMANA MIN",risk_check
"ada issue keamanan gak",risk_check
"HEI CEK RIWAYAT BATCH B-099",batch_trace
"kak promo cashback hari ini",out_of_scope
"jelasin verifikasi sjh dong",knowledge_query
"AP TU MBA CONSISTENCY RATIO?",knowledge_query
"nanya dong admin",greeting
"PERBANDINGAN BULAN INI DAN LALU THANKS",operational_data
"risk trend bulan nih naik atau turun?",risk_check
"permisi!",greeting
"sorry catatan pengiriman batch ni ada?",batch_trace
"KAK RISK APPETITE PERUSAHAAN BRP?",risk_check
"hei apa hukum gelatin dalam islam?",knowledge_query
"maaf hallo sih",greeting
"MIN MIN ADA FILE LAPORANNYA GAK?",operational_data
