text,label
"KAK KONSISTENSI AHP TU APAAN?",knowledge_query
"ringkasan operasional mingguan dong",operational_data
"bye sih",greeting
"mba inherent risk vs residual risk gimana??",risk_check
"maaf record perjalanan batch gimana?",batch_trace
"excel data produksi ada?",operational_data
"dari rph mana batch b-001 dipotong?",batch_trace
"dadah??",greeting
"tolong daging ni layak konsumsi gak?",risk_check
"minggu lalu berapa batch?",operational_data
"ada warning dari sistem ya risiko??",risk_check
"BATCH ITU ARTINYA APAAN THANKS",knowledge_query
"nanya dong cek pengiriman tokopedia min",out_of_scope
"kak perlu perbaikan keamanan gak?",risk_check
"hei bye",greeting
"lolos nih audit keamanan gak",risk_check
"min halo ada orang?",greeting
"jelaskan perbedaan hcp sih dan ccp",knowledge_query
"laporan bulanan mana?",operational_data
"ada update regulasi yang affect risk?",risk_check
"CATATAN PENGIRIMAN BATCH INI ADA DONG",batch_trace
"brp sih residual risk setelah mitigasi?",risk_check
"rph tangerang risikonya gimana?",risk_check
"semua titik kritis aman",risk_check
"kualitas batch ini masih bagus sih gak",risk_check
"stress kak testing hasilnya gimana!",risk_check
"apaan tuh risk assessment halal?",knowledge_query
"follow up temuan sudah?",risk_check
"lowongan kerja di deh rph ada kak",out_of_scope
"apaan tu cerol?",knowledge_query
"KAK RISK APPETITE PERUSAHAAN BRP?",risk_check
"mau tanya produktivitas karyawan gimana please",operational_data
"min halal itu apaan sih sebenarnya sih",knowledge_query
"min ada brapa batch hari nih!",operational_data
"modal ternak sapi brp gak",out_of_scope
"nomor resi pengiriman brapa!",batch_trace
"dari peternakan siapa sapi e-001?",batch_trace
"apa itu ai?",out_of_scope
"dikirim ke outlet mana?",batch_trace
"nanya dong data terkini apa aja?",operational_data
"tampilkan info sapi e-001??",batch_trace
"jelaskan hazard analysis halal",knowledge_query
"skkh batch mba ini nomor brapa dong",batch_trace
"min penyakit sapi apa aja?",out_of_scope
"root cause analysis sudah bot dilakukan sih",risk_check
"ok",greeting
"root cause analysis udh dilakukan?",risk_check
"testing",greeting
"mau tanya id sapi ini apa",batch_trace
"bagus gak",greeting
"mau tanya summary produksi dong",operational_data
"eh ada masalah keamanan gak",risk_check
"corrective action mas completion rate brp?",risk_check
"apaan itu ccp please",knowledge_query
"ada masalah keamanan kah gak",risk_check
"permisi minta laporan mingguan min",operational_data
"tahun lalu produksi brp ya",operational_data
"posisi batch ini dimana sekarang?",batch_trace
"cara potong daging untuk sate",out_of_scope
"min",greeting
"riwayat perjalanan daging ini dari awal",batch_trace
"halo ada orang",greeting
"sorry stress testing hasilnya gimana?",risk_check
"mba risk velocity masing-masing risiko gmn?",risk_check
"risiko investasi properti kak",out_of_scope
"apa maksudnya skor risiko thanks",knowledge_query
"kapan terakhir batch ini dicek?",batch_trace
"data pengiriman batch ini ada gak?",batch_trace
"permisi shelf life batch ini berapa hari lagi?",batch_trace
"fasilitas pemotongan lolos standar gak ya",risk_check
"daging tahan berapa lama di freezer gak",out_of_scope
"cara cairkan daging beku",out_of_scope
"sampai jumpa nih dong",greeting
"nanya dong fasilitas pemotongan lolos standar gak?",risk_check
"oke siap",greeting
"sorry stunning itu apa?",knowledge_query
"ada masalah keamanan gak sih",risk_check
"kak asalnya dri farm mana sih min",batch_trace
"jlasin proses samak!",knowledge_query
"mau tanya oke noted??",greeting
"kak apa itu ai ya",out_of_scope
"apa perbedaan haccp dan has?",knowledge_query
"DEH KAPAN TERAKHIR BATCH NI DICEK?",batch_trace
"risk velocity masing-masing risiko gmn kak",risk_check
"CHART PENGIRIMAN DONG DONG",operational_data
"hei lowongan kerja di rph ada ya",out_of_scope
"sorry cek riwayat batch b-099?",batch_trace
"batch itu artinya apaan?",knowledge_query
"DATA STATISTIK PENDUDUK YA",out_of_scope
"yng paling urgent diperbaiki apaan min",risk_check
"sertifikat kesehatan hewan dari mana?",batch_trace
"risk trend bulan ni naik atau turun thanks",risk_check
"skor akhir fuzzy ahp sudah keluar?",risk_check
"selamat malam",greeting
"list karyawan mba dong!",operational_data
"kasih data produksi",operational_data
"MIN MIN ADA FILE LAPORANNYA GAK?",operational_data
"bang min jelasin hazard analysis halal thanks",knowledge_query
"biaya operasional berapa?",operational_data
"HEI RPH TANGERANG RISIKONYA GIMANA?",risk_check
"perlu perbaikan keamanan gak?",risk_check
"cara melamar kerja di rph ya",out_of_scope
"kualitas batch ni masih bagus?",risk_check
"jelaskan verifikasi sjh please",knowledge_query
"BS KAH KIRIM VIA EMAIL GAK?",operational_data
"sapi ini berasal dari mana?",batch_trace
"jelasin proses samak",knowledge_query
"tolong probability of occurrence gak berapa?",risk_check
"min early warning system aktif gak",risk_check
"cek level risiko pendinginan daging",risk_check
"MAU TANYA DONG BOT AKTIF?",greeting
"jelaskan tentang sihalal",knowledge_query
"apaan itu uu jph?",knowledge_query
"SIAPA YANG CEK KAK TERAKHIR KALI",batch_trace
"permisi daging sapi palsu cirinya apa?",out_of_scope
"sorry cara obati mas sapi sakit",out_of_scope
"btw apa itu corrective action ya",knowledge_query
"ap tu surveillance audit?",knowledge_query
"nanya dong ante mortem sapi nih gimana",batch_trace
"perlu mba perbaikan keamanan gak?",risk_check
"hy?",greeting
"permisi outlet mana yang sudah terima ya",batch_trace
"DEH BUDGET BULANAN BRAPA GAK",operational_data
"print data rph thanks",operational_data
"near miss incident ada bot gak",risk_check
"berapa bobot kriteria kebersihan peralatan?",risk_check
"permisi bank digital terbaik dong",out_of_scope
"sorry tren produksi gimana?",operational_data
"daftar gudang beserta kapasitasnya",operational_data
"mau tanya ping",greeting
